rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__l1_ratio,params,split0_test_score,split0_train_score
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.00678253173828125,0.0,0.002198457717895508,0.0,1000,0.9,"{'model__alpha': 1000, 'model__l1_ratio': 0.9}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.007184743881225586,0.0,0.0021152496337890625,0.0,1000,1.0,"{'model__alpha': 1000, 'model__l1_ratio': 1.0}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.0063037872314453125,0.0,0.0021529197692871094,0.0,10000,0.1,"{'model__alpha': 10000, 'model__l1_ratio': 0.1}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.009520530700683594,0.0,0.0020127296447753906,0.0,10000,0.2,"{'model__alpha': 10000, 'model__l1_ratio': 0.2}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.008155345916748047,0.0,0.002132892608642578,0.0,10000,0.30000000000000004,"{'model__alpha': 10000, 'model__l1_ratio': 0.30000000000000004}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.007758378982543945,0.0,0.0020918846130371094,0.0,10000,0.4,"{'model__alpha': 10000, 'model__l1_ratio': 0.4}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.009392261505126953,0.0,0.0019676685333251953,0.0,10000,0.5,"{'model__alpha': 10000, 'model__l1_ratio': 0.5}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.006664276123046875,0.0,0.002113819122314453,0.0,10000,0.6000000000000001,"{'model__alpha': 10000, 'model__l1_ratio': 0.6000000000000001}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.006951570510864258,0.0,0.001657247543334961,0.0,10000,0.7000000000000001,"{'model__alpha': 10000, 'model__l1_ratio': 0.7000000000000001}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.006684541702270508,0.0,0.0018379688262939453,0.0,10000,0.8,"{'model__alpha': 10000, 'model__l1_ratio': 0.8}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.006738901138305664,0.0,0.0016186237335205078,0.0,10000,0.9,"{'model__alpha': 10000, 'model__l1_ratio': 0.9}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.005872488021850586,0.0,0.0010569095611572266,0.0,10000,1.0,"{'model__alpha': 10000, 'model__l1_ratio': 1.0}",-0.9077637051865229,-0.9999999999999999
